"state","year","student_count"
"Louisiana","2019","638377.0"
"Louisiana","2020","637629.0"
"Maine","2010","187661.0"
"Maine","2011","187816.0"
"Maine","2012","186984.0"
"Maine","2013","183423.0"
"Maine","2014","177786.0"
"Maine","2015","175160.0"
"Maine","2016","178923.0"
"Maine","2017","177107.0"
"Maine","2018","177425.0"
"Maine","2019","177345.0"
"Maine","2020","177102.0"
"Maryland","2010","848252.0"
"Maryland","2011","851971.0"
"Maryland","2012","853778.0"
"Maryland","2013","859252.0"
"Maryland","2014","865768.0"
"Maryland","2015","874108.0"
"Maryland","2016","879196.0"
"Maryland","2017","885820.0"
"Maryland","2018","893284.0"
"Maryland","2019","896423.0"
"Maryland","2020","909003.0"
"Massachusetts","2010","929569.0"
"Massachusetts","2011","923988.0"
"Massachusetts","2012","922683.0"
"Massachusetts","2013","922848.0"
"Massachusetts","2014","920558.0"
"Massachusetts","2015","916128.0"
"Massachusetts","2016","921031.0"
"Massachusetts","2017","919969.0"
"Massachusetts","2018","906504.0"
"Massachusetts","2019","901846.0"
"Massachusetts","2020","897905.0"
"Michigan","2010","1510716.0"
"Michigan","2011","1455966.0"
"Michigan","2012","1421312.0"
"Michigan","2013","1381597.0"
"Michigan","2014","1363534.0"
"Michigan","2015","1344181.0"
"Michigan","2016","1335713.0"
"Michigan","2017","1327204.0"
"Michigan","2018","1325441.0"
"Michigan","2019","1310029.0"
"Michigan","2020","1299608.0"
"Minnesota","2010","798557.0"
"Minnesota","2011","797808.0"
"Minnesota","2012","799736.0"
"Minnesota","2013","802454.0"
"Minnesota","2014","804580.0"
"Minnesota","2015","807009.0"
"Minnesota","2016","811104.0"
"Minnesota","2017","818653.0"
"Minnesota","2018","821937.0"
"Minnesota","2019","823418.0"
"Minnesota","2020","823690.0"
"Mississippi","2010","491651.0"
"Mississippi","2011","490526.0"
"Mississippi","2012","490619.0"
"Mississippi","2013","492847.0"
"Mississippi","2014","492421.0"
"Mississippi","2015","490189.0"
"Mississippi","2016","486245.0"
"Mississippi","2017","481923.0"
"Mississippi","2018","476689.0"
"Mississippi","2019","469061.0"
"Mississippi","2020","463305.0"
"Missouri","2010","897348.0"
"Missouri","2011","896702.0"
"Missouri","2012","893221.0"
"Missouri","2013","897838.0"
"Missouri","2014","896898.0"
"Missouri","2015","897403.0"
"Missouri","2016","895948.0"
"Missouri","2017","890865.0"
"Missouri","2018","890146.0"
"Missouri","2019","887660.0"
"Missouri","2020","885375.0"
"Montana","2010","141693.0"
"Montana","2011","141529.0"
"Montana","2012","142237.0"
"Montana","2013","142797.0"
"Montana","2014","144034.0"
"Montana","2015","144403.0"
"Montana","2016","145208.0"
"Montana","2017","146259.0"
"Montana","2018","146600.0"
"Montana","2019","147635.0"
"Montana","2020","148547.0"
"Nebraska","2010","294948.0"
"Nebraska","2011","297659.0"
"Nebraska","2012","300941.0"
"Nebraska","2013","303242.0"
"Nebraska","2014","307398.0"
"Nebraska","2015","312281.0"
"Nebraska","2016","315542.0"
"Nebraska","2017","318853.0"
"Nebraska","2018","323391.0"
"Nebraska","2019","325984.0"
"Nebraska","2020","329290.0"
"Nevada","2010","423859.0"
"Nevada","2011","429610.0"
"Nevada","2012","428526.0"
"Nevada","2013","431776.0"
"Nevada","2014","435765.0"
"Nevada","2015","438948.0"
"Nevada","2016","441623.0"
"Nevada","2017","442931.0"
"Nevada","2018","447389.0"
"Nevada","2019","448546.0"
"Nevada","2020","447293.0"
"New Hampshire","2010","196648.0"
"New Hampshire","2011","188614.0"
"New Hampshire","2012","190778.0"
"New Hampshire","2013","186966.0"
"New Hampshire","2014","184394.0"
"New Hampshire","2015","182771.0"
"New Hampshire","2016","179682.0"
"New Hampshire","2017","177977.0"
"New Hampshire","2018","171487.0"
"New Hampshire","2019","170116.0"
"New Hampshire","2020","168630.0"
"New Jersey","2010","1368768.0"
"New Jersey","2011","1397795.0"
"New Jersey","2012","1328229.0"
"New Jersey","2013","1338158.0"
"New Jersey","2014","1334982.0"
"New Jersey","2015","1338872.0"
"New Jersey","2016","1365943.0"
"New Jersey","2017","1358803.0"
"New Jersey","2018","1353735.0"
"New Jersey","2019","1344761.0"
"New Jersey","2020","1350101.0"
"New Mexico","2010","331436.0"
"New Mexico","2011","331373.0"
"New Mexico","2012","328690.0"
"New Mexico","2013","327209.0"
"New Mexico","2014","326637.0"
"New Mexico","2015","326297.0"
"New Mexico","2016","319861.0"
"New Mexico","2017","319526.0"
"New Mexico","2018","318092.0"
"New Mexico","2019","318845.0"
"New Mexico","2020","315372.0"
"New York","2010","2718714.0"
